Departamento  de la Instituci¢n;Provincias dela Rep£blica  de Panam†;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Econ¢mico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;A§o Cierre de Queja;A§o Recibido de Queja
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;36.79;Acuerdo en audiencia/Varios;;45450;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Incumplimiento de garant°a;TECH & HOUSE;ElectrodomÇsticos/equipos electr¢nicos;Sony;Televisor;1284;Resoluci¢n no acceder;;45485;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Falta de informaci¢n;UMICET;Universidad;;;2137.5;Acuerdo en audiencia/Varios;1282;45448;Jun 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Incumplimiento de contrato;TIGO PANAMµ;Telefonia;;;63.43;Acuerdo en audiencia/Varios;;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Falta de informaci¢n;WINGO;L°neas aÇreas;;;163.77;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Incumplimiento de garant°a;TEKNOTRON;ElectrodomÇsticos/equipos electr¢nicos;Mystic;Refrigeradora;391.61;Desistimiento/Devoluci¢n;374.5;45511;Ago 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Vicio oculto;BLARENCO 21, S.A.;Inmobiliarias;;Apartamento;409.85;Resoluci¢n/Devoluci¢n;409.85;45579;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Incumplimiento de servicio;MJNREMODELACIONES, S.A.;Servicios Profesionales;;;400;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45379;Mar 24;Resoluci¢n de contrato;TIGO PANAMµ;Telefonia;;;22.92;Acuerdo en audiencia/Varios;;45436;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45379;Mar 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45405;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45379;Mar 24;Incumplimiento de servicio;CORPORATE METAL SOLUTIONS, S.A.;Servicios Profesionales;;;1187.7;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45355;Mar 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Desistimiento;;45392;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45357;Mar 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45357;Mar 24;Incumplimiento de garant°a;DORA CELL;Celulares;Apple;Audifonos;246.1;Desistimiento/Devoluci¢n;230;45436;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45358;Mar 24;Falta de informaci¢n;TRAVEL ADVISORS PANAMµ/ TRAVEL AND EVENTS, S.A.;Hoteles o planes vacacionales;;;450;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45373;Mar 24;Falta de informaci¢n;MAGIC TRAVELS TOUR;Hoteles o planes vacacionales;;;699.99;Desistimiento/Devoluci¢n;350;45400;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45373;Mar 24;Falta de informaci¢n;FARMACIAS ARROCHA;Farmacias;;;12.78;Acuerdo en audiencia/Varios;;45399;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45376;Mar 24;Incumplimiento de garant°a;PREMIER;AlmacÇn por departamentos;Premier;Televisor;944.98;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45376;Mar 24;Incumplimiento de garant°a;CELL & PC SOLUTIONS;Celulares;;;32;Desistimiento/Devoluci¢n;32;45401;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45376;Mar 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Pendiente constancia desistimiento;;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45377;Mar 24;Incumplimiento de garant°a;PREMIER;AlmacÇn por departamentos;Premier;Moto;213.99;Desistimiento;;45420;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45378;Mar 24;Incumplimiento de garant°a;QUALITY PRODUCTS PANAMA, S.A.;Zapater°as;;;40.66;Desistimiento/Devoluci¢n;40.66;45401;Abri 24;2024;2024
Veh°culo a Motor;CoclÇ;Ley 45 de 2007;45365;Mar 24;Falta de informaci¢n;ORLYN, S.A.;Estaciones de gasolinas;;Auto;592.52;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45359;Mar 24;Incumplimiento de garant°a;FLASH HOME;Muebler°a/equipo electr¢nico;;Estufa;219.34;Acuerdo en audiencia/Reemplazo;;45463;Jun 24;2024;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45364;Mar 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;37.87;Desistimiento;;45463;Jun 24;2024;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45352;Mar 24;Incumplimiento de servicio;GOOD MOVIL;Celulares;Huawei;Celular;30;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45362;Mar 24;Incumplimiento de servicio;SOLUCIONES EN SEGURIDAD ELECTRONICA;Comunicaciones / internet;;C†mara de seguridad;960;Acuerdo en audiencia/Varios;;45476;Jul 24;2024;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45370;Mar 24;Incumplimiento de contrato;PROMOTORA GREENHOUSES, S.A.;Inmobiliarias;;Vivienda;1200;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45372;Mar 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45373;Mar 24;Falta de informaci¢n;CONEXIONES PANAMA MARKETING, S.A.;Agencias de viajes;;;400;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45377;Mar 24;Falta de informaci¢n;VIP GLOBAL MARKETING, S.A.;Agencias de viajes;;;2875;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45377;Mar 24;Incumplimiento de garant°a;EL CANGURO ZONA LIBRE;Celulares;Samsung;Celular;129;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 45 de 2007;45352;Mar 24;Incumplimiento de garant°a;MIGUEL CAR DESING;Venta de autos usados;;Auto;2000;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 45 de 2007;45364;Mar 24;Devoluci¢n de dinero;GRUPO SILABA;Agencia de autos;Chevrolet;Auto;200;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45352;Mar 24;Incumplimiento de garant°a;DORADO CENTER;Supermercados;;Bicicleta;267.49;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45364;Mar 24;Incumplimiento de garant°a;OPTICA VISION CENTER;Opticas;;;196.88;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45356;Mar 24;Incumplimiento de garant°a;HASTOR;ElectrodomÇsticos/equipos electr¢nicos;;DRON;69.95;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45357;Mar 24;Incumplimiento de garant°a;OPTICA VISION CENTER;Opticas;;;176.55;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45359;Mar 24;Devoluci¢n de dinero;BOQUERON DEVELOPMENT,S,A;Inmobiliarias;;Vivienda;1550;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45362;Mar 24;Devoluci¢n de dinero;CEFORMATE;Escuelas / colegio;;;175;Pendiente constancia desistimiento;;45596;Oct 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45364;Mar 24;Devoluci¢n de dinero;BOQUERON DEVELOPMENT,S,A;Inmobiliarias;;;2300;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45366;Mar 24;Incumplimiento de servicio;PANAMA NETBUY;Servicio de intermediaci¢n;;;53;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45371;Mar 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;37.01;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45372;Mar 24;Incumplimiento de contrato;VIDRIO Y VENTANA KEINEL;Servicios de instalaci¢n;;;350;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45372;Mar 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;31.72;Pendiente constancia desistimiento;;45603;Nov 24;2024;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45373;Mar 24;Incumplimiento de servicio;BOX SHOP DAVID;Ventas por internet;;;280.88;En proceso;;;;;2024
Veh°culo a Motor;Herrera;Ley 45 de 2007;45352;Mar 24;Incumplimiento de garant°a;GRUPO Q PANAMµ, S.A.;Taller de reparaci¢n de autos;Chevrolet;Auto;400;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45356;Mar 24;Rescindir contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45362;Mar 24;Incumplimiento de garant°a;LARIOUS, S.A.;AlmacÇn de ropa y calzados;;;65.97;Acuerdo en audiencia/Devoluci¢n de dinero;65.97;45531;Ago 24;2024;2024
Decisi¢n;Herrera;Ley 45 de 2007;45365;Mar 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;23.98;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45369;Mar 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45371;Mar 24;Incumplimiento de contrato;INSTITUTO DE FORMACION APRENDER PANAMA S.A.;Escuela de manejo;;;800;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45373;Mar 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;63.69;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45373;Mar 24;Rescindir contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45377;Mar 24;Rescindir contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45377;Mar 24;Rescindir contrato;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Herrera;Ley 45 de 2007;45378;Mar 24;Rescindir contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Veh°culo a Motor;Los Santos;Ley 45 de 2007;45359;Mar 24;Falta de informaci¢n;INVERSIONES VE Y VE;Venta de autos usados;Toyota;Auto;11254.85;Ministerio P£blico;;45462;Jun 24;2024;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45355;Mar 24;Incumplimiento de servicio;ELECTRONICA ECOCELL CENTER;Servicios ElÇctricos;;Celular;80;Acuerdo en audiencia/Devoluci¢n de dinero;50;45411;Abri 24;2024;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45356;Mar 24;Incumplimiento de servicio;DIRECCI‡N GENERAL DE CORREOS Y TELEGRAFOS;Env°o de dinero;;;505;Pendiente constancia desistimiento;;45434;May 24;2024;2024
Decisi¢n;Los Santos;Ley 45 de 2007;45370;Mar 24;Rescindir contrato;SKY PANAMµ;Telefonia;;;111;Desistimiento;;45462;Jun 24;2024;2024
Veh°culo a Motor;Veraguas;Ley 45 de 2007;45377;Mar 24;Da§os y perjuicios;TERPEL TRAVEL CENTER SANTIAGO;Estaciones de gasolinas;;Combustible;496.54;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45358;Mar 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;76;Desistimiento;;45464;Jun 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45358;Mar 24;Falta de informaci¢n;PRO-CLUB FITNESS CENTER;Gimnasio y centros deportivos;;;192.6;Desistimiento/Devoluci¢n;192.6;45464;Jun 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45362;Mar 24;Falta de informaci¢n;UNIVERSIDAD TECNOLOGICA OTEIMA;Universidad;;;210;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45365;Mar 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Comunicaciones / internet;;Router;42.54;Desistimiento;;45610;Nov 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45373;Mar 24;Da§os y perjuicios;PRO-CLUB FITNESS CENTER;Gimnasio y centros deportivos;;;709;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45376;Mar 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;44.35;En proceso;;;;;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45377;Mar 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;28.02;Acuerdo en audiencia/Varios;;45588;Oct 24;2024;2024
Decisi¢n;Veraguas;Ley 45 de 2007;45378;Mar 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;Desistimiento;;45464;Jun 24;2024;2024
Veh°culo a Motor;Pm† Oeste;Ley 45 de 2007;45372;Mar 24;Incumplimiento de servicio;BASS LIFE 507;Repuestos para autos;;;1399.4;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45352;Mar 24;Incumplimiento de garant°a;EL FUERTE;AlmacÇn por departamentos;Nisato;Lavadora;192.59;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45357;Mar 24;Incumplimiento de servicio;CLINICA INNOVA SALUD;Cl°nicas/ Hospitales;;;275;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45363;Mar 24;Rescindir contrato;CABLE & WIRELESS PANAMµ;Celulares;;;23.54;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45365;Mar 24;Falta de informaci¢n;AGROLIM‡N, S.A.;Inmobiliarias;;;1050;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45365;Mar 24;Incumplimiento de garant°a;ÈNICA;Muebler°a/equipo electr¢nico;Frigidaire;Refrigeradora;534.99;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45369;Mar 24;Resoluci¢n de contrato;DECAMERON;Hoteles o planes vacacionales;;;4000;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45370;Mar 24;Custodia de bien;FRIOVEN DE PANAMA;Servicios Profesionales;Whirlpool;Lavadora;195;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45372;Mar 24;Incumplimiento de contrato;FOREST VILLAGE 1, S.A.;Inmobiliarias;;;4000;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45372;Mar 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;31.67;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45379;Mar 24;Resoluci¢n de contrato;NATURAL ENGLISH;Cursos de inglÇs;;;1800;En proceso;;;;;2024
Decisi¢n;Pm† Oeste;Ley 45 de 2007;45359;Mar 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45384;Abr 24;Incumplimiento de garant°a;TALLER DE TORNERIA Y MECANICA MENOR MULTISERVICIOS AITZAENITH;Transporte (fletes, encomiendas y similares);;Horno;590;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45384;Abr 24;Incumplimiento de garant°a;INSTITUTO DE FORMACI‡N FUTURISTA APRENDER PANAMµ;Cursos varios;;;800;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45383;Abr 24;Incumplimiento de garant°a;DISTRIBUIDORA DE MOTORES S.A./ FAT CAR;Venta de autos usados;Honda;Auto;4500;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45384;Abr 24;Incumplimiento de garant°a;TOP LINE & GAP CS GROUP;Servicios de instalaci¢n;Mazda;Auto;110;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45384;Abr 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;Chevrolet;Auto;14800;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45385;Abr 24;Incumplimiento de garant°a;TESA MOTOR CORP.;Agencia de motos;Yamaha;Moto;3690;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45385;Abr 24;Incumplimiento de garant°a;SCHUBERT AUTO;Agencia de autos;Dongfeng;Auto;15000;Desistimiento;;45439;May 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45386;Abr 24;Incumplimiento de garant°a;GRUPO DE RESPUESTOS KOREANOS, S.A.;Repuestos para autos;Hyundai;Auto;266.43;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45386;Abr 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;KIA;Auto;21445;Desistimiento;;45418;May 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45392;Abr 24;Incumplimiento de servicio;MOTORES JAPONESES;Agencia de autos;Suzuki;Auto;1177.52;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45392;Abr 24;Incumplimiento de garant°a;SUPER AUTOS (INVERSIONES RAIHAN, S.A.);Venta de autos usados;Nissan;Auto;6500;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45393;Abr 24;Incumplimiento de garant°a;TALLER SOTO TRANSMISIONES Y MOTORES;Taller de reparaci¢n de autos;Hyundai;Auto;1450;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45394;Abr 24;Custodia de bien;AIRE SPARKS;Taller de reparaci¢n de autos;Nissan;Auto;6017.08;Inhibe;;45488;Jul 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45394;Abr 24;Incumplimiento de garant°a;EMPRESAS MELO, S.A.;Agencia de autos;MG;Auto;19100;Desistimiento;;45470;Jun 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45394;Abr 24;Falta de informaci¢n;TRANSMISIONES AUTOMATICAS PTY, S.A.;Taller de reparaci¢n de autos;KIA;Auto;749;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45397;Abr 24;Falta de informaci¢n;COBRO Y CRêDITO MERCANTIL, S.A.;Venta de autos usados;Isuzu;Auto;6741;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45398;Abr 24;Incumplimiento de servicio;SERVICENTRO ALEX, S.A.;Taller de reparaci¢n de autos;JEEP;Auto;1363.44;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45398;Abr 24;Incumplimiento de garant°a;PROVEEDOR AUTOMOTRIZ, S.A.;Venta de autos usados;Mazda;Auto;10709.75;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45400;Abr 24;Incumplimiento de garant°a;CAR MARKET PANAMµ;Venta de autos usados;Nissan;Auto;17000;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45401;Abr 24;Incumplimiento de garant°a;GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Cherry;Auto;24990;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45405;Abr 24;Incumplimiento de garant°a;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Auto;20500;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45406;Abr 24;Incumplimiento de contrato;CORPORACI‡N PANAME•A DE AUTOS, S.A.;Alquiler de autos;Hyundai;Auto;133.75;Acuerdo en audiencia/Devoluci¢n de dinero;;45589;Oct 24;2024;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45406;Abr 24;Incumplimiento de garant°a;GRUPO Q PANAMµ, S.A.;Agencia de autos;Chevrolet;Auto;27500;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45406;Abr 24;Incumplimiento de garant°a;GRUPO SILABA;Agencia de autos;Chevrolet;Auto;23994;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45407;Abr 24;Incumplimiento de garant°a;ECO POWER;Repuestos para autos;;Bater°a de auto;149.79;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45408;Abr 24;Incumplimiento de garant°a;LEVEL UP 360, S.A.;Venta de autos usados;Kamura;Auto;7450;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45411;Abr 24;Incumplimiento de garant°a;EURO ART MOTORS, S.A.;Agencia de motos;Super Soco;Moto;3157;En proceso;;;;;2024
Veh°culo a Motor;Panam†;Ley 14 de 2018;45412;Abr 24;Incumplimiento de garant°a;MOTORES JAPONESES;Agencia de autos;Suzuki;Auto;21790;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45384;Abr 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;Pendiente constancia desistimiento;;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45386;Abr 24;Falta de informaci¢n;IBIZA PANAMA, S.A.;Perfumer°a;;Perfume;504.01;Desistimiento;;45426;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45386;Abr 24;Falta de informaci¢n;IBIZA PANAMA, S.A.;Perfumer°a;;;124.14;Desistimiento/Devoluci¢n;62.07;45421;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45386;Abr 24;Venta enga§osa;OPTIGLASS, S.A.;Opticas;;Lentes;46.79;Resoluci¢n no acceder;;45485;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45386;Abr 24;Falta de informaci¢n;SANTA AROMA;Perfumer°a;;Perfume;58.15;Pendiente constancia desistimiento;58.15;45415;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Falta de informaci¢n;REPARTO TOCUMEN, S.A.;Inmobiliarias;;Vivienda;1840;Desistimiento;;45420;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45386;Abr 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;32.47;Desistimiento;;45406;Abri 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45386;Abr 24;Incumplimiento de garant°a;COOL GADGETS LIMITED, S.A.;Videojuegos;;Video juego;650;Acuerdo en audiencia/Devoluci¢n de dinero;650;45426;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Incumplimiento de garant°a;CAPACOL, S.A.;AlmacÇn por departamentos;;Maleta de viaje;149.75;Acuerdo en audiencia/Devoluci¢n de dinero;149.75;45436;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Incumplimiento de servicio;VIANAYA TRAVEL INC.;Agencias de viajes;;;1645;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Incumplimiento de servicio;IRON & CONSTRUCTION DESIGN GROUP, S.A.;Servicios Profesionales;;;2760;Ministerio P£blico;;45614;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Incumplimiento de garant°a;E-VISION;ElectrodomÇsticos/equipos electr¢nicos;Panasonic;Aire acondicionado;641.9;Pendiente constancia desistimiento;;45428;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Incumplimiento de servicio;FAST SERVICES CENTER;Celulares;;;170.55;Desistimiento;;45415;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Incumplimiento de garant°a;COREMUSA;Muebler°a/equipo electr¢nico;;;320.99;Acuerdo en audiencia/Reemplazo;;45419;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45390;Abr 24;Cobro indebido;FELIX B. MADURO, S.A.;AlmacÇn por departamentos;;;1270.67;Acuerdo en audiencia/Varios;;45419;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Falta de informaci¢n;FASTOURS PANAMA;Agencias de viajes;;;1290;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Incumplimiento de garant°a;ALDO PANAMA RUFINA ALFARO PA;AlmacÇn por departamentos;;;105.93;Desistimiento/Devoluci¢n;105.93;45422;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45398;Abr 24;Falta de informaci¢n;FASTOURS PANAMA;Hoteles o planes vacacionales;;;1490;Resoluci¢n/Devoluci¢n;1490;45579;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Incumplimiento de garant°a;FARMACIAS ARROCHA;Farmacias;;Scooter;176.51;Acuerdo en audiencia/Reemplazo;;45422;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Falta de informaci¢n;INTERMERICAN TRAVEL SERVICES;Agencias de viajes;;;230;Desistimiento;;45442;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Cobro indebido;SUPER XTRA;Supermercados;;;7.04;Pendiente constancia desistimiento;;45475;Jul 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45391;Abr 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;21.4;Acuerdo en audiencia/Varios;;45426;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45392;Abr 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Resoluciones/Varios;;45435;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45392;Abr 24;Incumplimiento de servicio;FASTOURS PANAMA;Agencias de viajes;;;1182;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45392;Abr 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;21.4;Desistimiento;;45425;May 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45394;Abr 24;Da§os y perjuicios;HAIR SPOT NAIL BAR BELLA VISTA PA;Sal¢n de belleza;;;277.86;Desistimiento/Devoluci¢n;277.86;45435;May 24;2024;2024
